lesson,content
121,Ani na leden to Diana nedodala. Teta Jitka stonala. Odjeli do kina. Setnina dnes nejedla. Okolo lesa je klid.
122,Vlasta a Vanda odjeli na venkov. David to dnes dovedl. Ivan sledoval sovino letadlo. Vojta ale na divane stonal. Ivana to nedodala.
123,Vendelin vedl Ivanko do Kladna. Vlasta dnes dostala od Vojta divan. Ivana to ale nedojednala. David odjel na venkov. Sovino kino.
124,To Ivana asi nesvede. Tento kolektiv je Vojvodina Novi Sad. Stavitel to jen tak konstatoval.
125,David a Ivanka dnes odjeli na venkov. Vojta to ale nedovedl. Vlasta je ve stodole. Ivan sledoval jelena. Vendelin vedl Ivana.
126,Vlasta a Vendelin to dnes nedodali do Kladna. David odjel na venkov. Ivana dostala od Vojta divan. Vanda to ale nevedla. Sova loni.
127,Vlasta to odklidila vedle na divan. I Svatava odjela. Sova klovala do kosti. Aktivistka Ivanka dnes na Visle neveslovala.
128,David vedl Ivanka na venkov do stodole. Vojta a Ivan to ale nedodali. Vendelin odjel do Kladna. Vanda dnes ani nejedla. Sova.
129,Vlasta a Ivana odjeli na venkov. Vojta to ale dnes nevedl. David je ve stodole. Vendelin a Ivan odjeli do Kladna. Vanda dostala divan.
130,Sodovka skladoval ve stodole jen kajak a lana. Dnes jedete lovit i jelena. Statistik Venda sledoval jen svislost.
131,Ivan a Vlasta to dnes nedodali. Vojta odjel na venkov. Vanda ale vedla Ivanka do kina. David a Vendelin odjeli do Kladna. Sova letela.
132,David dnes odjel na venkov. Ivana to ale nevedla. Vojta a Vlasta je ve stodole. Vendelin sledoval jelena. Vanda dostala od Ivana slona.
133,Sledovali tisk. Aktivista Sovadina se dnes nedostavil. Ivanka je asi v letadle. Dnes Vanda na venkov neodjela.
134,Vlasta a David dnes odjeli na venkov. Ivan a Vendelin to ale nedovedli. Ivana stojala na divane. Vojta je ve stodole. Vanda je v lese.
135,Ivan vedl Vojta na venkov. Vlasta to dnes ale nedodala. David odjel do Kladna. Vendelin a Ivanka dostali letadlo. Vanda ale stonala.
136,Apolena svoje povinnosti splnila. Pan Leopold Pavelka dnes odjede do Polska. Pavla se pojistila. Poslal dopis do Japonska.
137,Pan Pavel odjel na potok. Pavla to ale nedopsala. Pilot se posadil do letadla. Popelka dostala dopis od Pavla. Leopold je na plese.
138,Pavel a Pavla odjeli na ples. Pilot to ale nevedl. Pan Pavelka poslal dopis do Kladna. Popelka dostala letadlo. Apolena je dole.
139,Ten popis se Janovi asi nepovedl. Pavla povolalo vojsko. Popelka se dostavila na ples. Nedovolil si ani slovo. Po stole teklo lepidlo.
140,Pavla si psala dopis na stole. Pan Pavel to ale nedovedl. Pilot odjel do Polska. Popelka a Leopold odjeli na ples. Apolena to dopsala.
141,Pan Pavelka dnes poslal dopis do Japonska. Pavla to ale nedopsala. Pilot je v letadle. Popelka odjela na ples. Pavel dostal slona.
142,Pokladna na to ale jen doplatila. Vlastovi kapal vodovod. Pavel nesl topivo. Pilot se posadil do letadla. Psala asi dopis.
143,Popelka a Pavel odjeli na ples do Polska. Pan Leopold to ale nedovedl. Pavla dostala dopis od pilota. Apolena dnes odjela na potok.
144,Pavla si na stole psala dopis. Pan Pavelka to ale nedopsal. Pilot odjel do Kladna. Popelka je na plese. Pavel dostal letadlo.
145,Pan Alois Kvapil si na potok postavil Peltonovo kolo od Pavla Podeka. Dopisovatelka APA odjela do Opole. Sokol spadl do potoka.
146,Pavel a Pavla dnes odjeli na potok. Pan Pavelka to ale nedopsal. Pilot je v letadle. Popelka dostala dopis. Leopold odjel na ples.
147,Apolena a Popelka to ale dnes nedopsali. Pan Pavel odjel do Polska. Pilot vedl letadlo. Pavla dostala slona. Leopold je na potoke.
148,Svatopluk ustupoval k lesu. Kvapilova klopa se jen leskla. V dopise si psali o odklad. Teplota nepoklesla. Napsali si o pletivo na plot.
149,Pan Pavelka a Pavel to ale dnes do ledna nedopsali. Pilot odjel do Polska. Popelka je na plese. Pavla dostala letadlo od Leopolda.
150,Apolena dnes odjela na potok. Pavel a Pavla to ale nedodali. Pilot vedl letadlo do Polska. Popelka dostala dopis. Leopold je na plese.
151,Pavla se posadila v lese. Kluk ale odklusal k potoku. Pavel opustil Lounsko. Lidunka si koupila novou taktovku.
152,Julius ustoupil od okna. Vendula si koupila novou sukni. Ten kluk se posadil na louku. Lidunka opustila podnik v lednu.
153,Na potoku je soudek s vodou. Pavel odjel do Lounek. Ivana si ukousla sousto. Kupovali to jen kluk a Vendula.
154,Osekali jen opuku. V lednu je odsoudil. Spoutali ji. Ukousla si jen sousto a odjela. Podejte i tu kliku.
155,Vendula koupila v podniku novou taktovku. Kluk ustoupil a Julius se posadil na louku. Pavla opustila ten les.
156,Julius si odkoupil louku v Lounsku. Pavel a Lidunka se posadili u potoku. Kluk pojedl sousto. Vendula ustoupila od okna.
157,V podniku uloupili kasu a utekli. V dole nastavovali kovovou stojku. Pavel Kalousek studoval v listopadu statistiku. Letos ale odpadla.
158,Kluk odnesl ten sud. Julius vstoupil do podniku. Vendula si ukousla jen kousek. Na louku se posadili Pavla a Pavel.
159,Lidunka opustila podnik a odjela. Julius koupil novou soustavu. Vendula ustoupila od stolu. Kluk pojedl sousto na louku.
160,Tenistka nepostoupila. Divadlo uvedlo novou povedenou jednoaktovku. Velitel Pavelka vstoupil do pokoje. Julius studoval novou soustavu.
161,Julius odjel do Lounek a koupil soudek. Vendula se posadila v lese. Opustili podnik v lednu. Pavel ustoupil od stolu.
162,Lidunka a Pavla odjeli na louku. Julius koupil kovovou stojku v podniku. Vendula pojedla sousto. Kluk ustoupil od stolu.
163,Loni tu velkou louku odvodnili a letos je tu kus pole. Na lodi je soudek s pitnou vodou. Podnik snad koupil deset tun koksu. Tu vsuvku neopisujte.
164,Julius a Vendula se posadili na louku u lesa. Pavel opustil Lounsko. Lidunka si koupila novou sukni. Kluk ustoupil od okna.
165,Podnik v lednu koupil kovovou stojku. Vendula a Julius studovali novou soustavu. Pavla si ukousla jen kousek sousto.
166,Statik odvodil pevnost sloupu. Ten postup neuspokojuje. Ustupovali jen kousek po kousku. Do pokoje pojednou vstoupila spojovatelka Vendula.
167,Pavla a Julius vstoupili do podniku v Lounsku. Vendula koupila taktovku. Lidunka opustila ten podnik a ustoupila k lesu.
168,Kluk se posadil na louku u lesa. Vendula si odkoupila ten soudek. Julius ustoupil od pokoje. Pavla koupila kovovou soustavu.
169,Tank tu propadlinu projel. Podepisuje se jako Julius. Vedl vojsko osadou Sloup. Velitel podepsal novou soustavu. Do spolku nikdo nevstupoval.
170,Julius si koupil soudek a odjel na louku. Vendula opustila podnik v Lounsku. Pavla se posadila u potoku. Kluk ustoupil.
171,Vendula pojedla sousto a opustila podnik. Julius koupil novou kovovou stojku. Pavel a Lidunka odjeli do Lounek. Kluk ustoupil.
172,Dnes Jaroslav ani to prkno neprovrtal. Radka odjela v srpnu s Petrou na karneval. Nepravidelnosti je nutno respektovat. Karel kupoval propisku.
173,Karel a Radka odjeli na karneval. Jaroslav kupoval propisku v podniku. Ivan prodal ten prospekt. Petra odjela v srpnu na poradu.
174,Jaroslav provrtal prkno a odjel. Karel a Radka kupovali prospekt na karneval. Ivan je na porade. Petra se posadila na louku.
175,Doposud jsou v kontaktu. Protestoval proti nespravedlnosti. Prodal prospekt. Kupoval deset vstupenek na ples. Ivan odjel na poradu.
176,Karel protestoval a Radka odjela na poradu. Jaroslav prodal prospekt v podniku. Ivan kupoval vstupenku na ples. Petra je v kontaktu.
177,Rok od roku Ivan odjel na poradu. Jaroslav a Karel protestovali. Radka prodala ten prospekt. Petra kupovala vstupenku na karneval.
178,Spor urovnala teprve porota. Ivanka dostala kopretinu. Nastalo jaro. Studenti VI. A v lese sportovali. Tuto listinu podepsal Karel IV.
179,Jaroslav se vrtal do prkna. Petra a Radka odjeli na karneval. Karel protestoval na porade. Ivan prodal propisku a prospekt.
180,Petra a Radka odjeli v srpnu na karneval. Karel kupoval vstupenku na ples. Jaroslav prodal ten prospekt. Ivan protestoval na porade.
181,Prostudoval pokrokovou literaturu. Tu kopii podepsal i soused Srpek. Lektorka povolila jen jeden den volna. I tento spor trval asi rok.
182,Karel prostudoval ten prospekt. Jaroslav prodal propisku. Radka a Petra protestovali na porade. Ivan kupoval vstupenku rok od roku.
183,Lektorka povolila den volna. Karel a Ivan odjeli na poradu. Jaroslav protestoval proti sporu. Radka kupovala prospekt v podniku.
184,Podnik loni neprosperoval. Jirka a Vojta Srpovi narukovali na vojnu. Kreslil pastelkou kopretinu. Korespondentka psala konspekt proslovu.
185,Karel rok od roku protestoval. Jaroslav kupoval propisku a prospekt. Radka odjela na poradu. Ivan a Petra prodali vstupenku na ples.
186,Jaroslav prostudoval literaturu a protestoval. Karel a Radka prodali ten prospekt. Ivan odjel na poradu v srpnu. Petra je v kontaktu.
187,Pan Kroupa nastoupil v srpnu do Stavoservisu. To jste provedli opravdu dokonale. Doprovodila Karla na Prosek. Odprodal dosud dva kladkostroje.
188,Karel a Jaroslav protestovali na porade v podniku. Radka prodala prospekt. Ivan rok od roku kupoval vstupenku na karneval. Petra odjela.
189,Ivan prostudoval ten prospekt a prodal propisku. Karel odjel na poradu. Radka a Jaroslav kupovali vstupenku. Petra je doposud v kontaktu.
190,V VI. A propadli dva studenti. Rok od roku se projevoval pokles prodeje paliva. Dnes nastoupil ten korektor Rostislav Patera. Srovnali krok.
191,Karel a Radka protestovali rok od roku. Jaroslav si kupoval propisku v podniku. Ivan ten prospekt prodal. Petra odjela na poradu v srpnu.
192,Jaroslav a Ivan protestovali na porade. Karel prodal prospekt a propisku. Radka rok od roku kupovala vstupenku. Petra odjela na karneval.
193,Projektanti asi odeslali investorovi projekt rekonstrukce divadla. Ani si nepodali ruce. Ve skladu je tucet lavic. Plavci jedli ovoce.
194,Plavci jedli ovoce na lavici. Karel cestoval do divadla. Radka si koupila tucet ovoce. Cesta vedla od lesa k potoku.
195,Produkce ovoce poklesla rok od roku. Karel a Radka cestovali na karneval. Tucet lavic je ve skladu. Plavci jedli ovoce na ulici.
196,Poslanci CDU cestovali do Turecka. Produkce ovoce letos dokonce poklesla. Cukrovar v prosinci pracoval na sto procent. Tancovali spolu celou noc.
197,Karel cestoval do Turecka a koupil tucet ovoce. Radka a Petra jedli na lavici. Produkce rok od roku poklesla dokonce.
198,Ve skladu je tucet lavic od divadla. Karel a Radka cestovali celou noc. Plavci jedli ovoce u potoka. Produkce v prosinci poklesla.
199,Karel a Petra cestovali celou noc do Turecka. Plavci si sedli na lavici a jedli ovoce. Radka koupila tucet. Produkce dokonce poklesla.
200,Cesta do divadla vedla okolo lesa. Karel a Radka cestovali celou noc. Plavci si koupili tucet ovoce. Produkce dokonce poklesla.
201,Lucie se ucila na koleji celou noc. Karel dostal novou loptu od otce. Na konci ulice postavili policiste stanici. Cilka si koupila sukni a vestu. Procestovali celou Evropu. Kocour Rek lovil v noci u potoka. Alice se vracela.
202,Porotci ocenili sportovcovu kondici. Kluci si na ulici postavili i pec. Celou cestu do Rakvic kojenec prospal. Alice dostala v recitaci II. cenu. Procestovali s Luckou celou Evropu. Proces trval do ledna.
203,Kapitola o recitaci se Lucii opravdu povedla. Policiste staveli stanici na konci ulice. Karel a Cilka procestovali celou Evropu. Inspektor ten proces rekonstruoval. Klient ocenil kvalitu i cenu. Na stole je korespondence.
204,Soudce proces odrocil na leden. Kupec prodal na trnici tricet ovci. Dcera pracovala celou noc. Na konci lesa stoji kaplice. Karel recitoval celou lekci. Studenti dostali od ucitele novou loptu. Dali si k veceri polevku.
205,Auto couvalo do kopce. Teprve v deset dopoledne pacientka procitla. Tuto iniciativu kupec ocenil. Kocour Packa v noci lovil. Dcera jela na koncert. Poprosil o kousek slepice na paprice. Patricie nedostala rukavice.
206,Policiste staveli stanici na konci ulice. Letci nastoupili do letadla v poledne. Cilka si koupila novou sukni. Na ulici je celou noc klid. Koncert se konal v lednu. Otec ji ucil na koleji. Recitace se Alice povedla.
