lesson,content
566,"Příslušníci všech ozbrojených sil se opět sešli k oslavám - tentokrát v Praze-Chodově. Ostravsko-karvinský revír nyní řeší jiné problémy. Při hře na lišku šly děti podle šipek, kladených staršími chlapci z oddílu."
567,"V našem městě otevřeli novou školu, kam bylo přijato šedesát dětí. Vedoucí stavebního oddělení přednesl zprávu o bytové výstavbě na sídlišti. Maruška nám připravila dobrou hostinu, všichni jsme si pochvalovali."
568,"Vyřešíte-li i další tři příklady, máte vyznamenání jisté. Vzhledem ke klesajícím světovým zásobám ropy je nutné šetřit také pohonnými hmotami. Potřebovali bychom do našeho oddělení získat dvě nové šikovné písařky."
569,"Míša odešla do šatny pro svoji novou vestu. Všem přítomným oznámili, kdy se příští porada bude konat. Stavba domu se posunula, naštěstí se podařilo zhotovit střechu před příchodem podzimní nepohody. Bylo to skvělé."
570,"Zapřemýšlíme-li si chvíli, třeba se nějaké řešení podaří najít. Opět vše přešetřovali. Odešla do šatny pro věšák. Pospíšíme-li si trochu, chytíme ještě odpolední vlaky do Prešova. Letadlo rychle nabírá výšku."
571,"Příští školní rok přinese nové předměty, na které se všichni připravujeme. Šestice studentek dostala cenu za nejlepší práci. Rozšíříme-li nabídku, oslovíme širší okruh odběratelstva. Obchodní oblast roste."
572,Jaromír Mašek je zkušený pracovník. Děti si vyšly na návrší blízko školy pouštět draky. V letošním školním roce se však vaše výsledky v ruštině přece trošku zlepšily. Jednací protokol rozešleme všem přítomným poštou.
573,"Vedoucí našeho oddělení rozhodl o rozšíření sortimentu, aby nabídka lépe odpovídala potřebám odběratelstva. Na konci školního roku se konala slavnostní akademie. Míša přinesla ze školy šest nových knih o přírodě."
574,"Děti se těšily na prázdniny - měly před sebou posledních šest dní školy. Nepřestane-li pršet, letošní obilí dost rychle pod střechu nedostaneme. Zlepšené vztahy mezi oběma státy se projevily ve zvýšené obchodní výměně."
575,"Prošetřujeme-li všechny okolnosti, musíme být velmi svědomití a poctivý. Na výstavišti se konala přehlídka novinek ze strojírenské a stavební výroby. Naše nová vedoucí se plně zhostila své role, oddělení pracuje lépe."
576,V termínu předali investorovi dokumentaci v šestnácti vyhotoveních. Podal si přihlášku na vysokou školu. Jako šesté vytáhla ze šatníku šedomodré šaty. Přihlášku na to vaše školení jsme odeslali poštou.
577,"Šimon se přihlásil na jazykový kurz, kde se bude zdokonalovat v cizím jazyce. Na šestém zasedání představenstva projednávali nové investice. Naštěstí se vše podařilo vyřešit v termínu, všichni byli spokojeni."
578,"Na rukávě košile měl Jan přišitý látkový emblém svého oddílu. Mušketýr prý vyšel z kdejaké šarvátky vítězně. Máme-li náš výrobní sortiment ještě dále rozšiřovat, musíme nutně přijímat další odborné pracovníky."
579,"Maruška se na školní výstavě drobných prací umístila na prvním místě. Letošní plán školy se podařilo navýšit o nemalé prostředky. Šetřilo se na všem, aby se investice mohla bez prodlení dohotovit v termínu."
580,Elektřinou se šetřilo téměř na všech těchto pracovištích. Na vašem místě bych asi dávno zešedivěl. Tu ošklivou škrábanici v sešitě mu prostě přeškrtl. Na výměnné návštěvě byli v krušovickém pivovaru.
581,"V nové městské škole se konaly slavnostní zápisy dětí do první třídy. Stavební materiál dorazil naštěstí v pořádku a práce na rozšíření haly se rozběhly. Na vašem školení jsme se dozvěděli mnoho nového, bylo to přínosné."
582,Vlak do Košic odjel před šesti minutami. Pan Valášek přišel s krásnou kyticí šeříku. Maruška se bojí myší. Příliš šetrně se ovšem nechová. Na soustředění byli přizváni někteří šermíři. Vaše ceny jsou přemrštěné.
583,"Vedoucí naší stavební skupiny přednesl na konci roku zprávu o hospodaření. Šimon odešel do školy, kde měl připravenou přednášku pro nové studenty. Všechny škody byly naštěstí odstraněny, provoz se obnovil."
584,"Neporuší-li některá ze stran příměří, zvyšuje se naděje na mírové řešení sporu. Lidé sváděli již tři dny obtížný boj s velkým lesním požárem. Dík vaší vynikající pomoci stanovené termíny dokážeme dodržet."
585,"Manžel si pořídil novou knihu o životě na venkově, která ho velmi zaujala. V každém případě je třeba vyšetřit všechny okolnosti toho požáru. Vedoucí oznámil, že se na příštím jednání bude projednávat nový mzdový předpis."
586,"Ve většině zotavoven mohli naši kontroloři konstatovat, že se dodržují přísně požadavky zdravé výživy. Neobdržíme-li však od vašeho podniku do příštího týdne schválenou studii, práce na IV. etapě přestavby se zdrží."
587,"Při vyšetřování požáru se zjistilo, že jeho vznik zavinilo nedodržení platných norem. Manželé si objednali nový kožešinový límec, který přišel poštou. Životní podmínky na venkově se v posledních letech podstatně zlepšily."
588,"Vybral pro manželku pěkný kožich, protože však neměl v peněžence dost peněz, musel platit šekem. Obdržel už druhé vyznamenání ve svém životě, tentokráte u příležitosti životního jubilea. Snažíme se vám vyhovět."
589,"V našem kraji se konala slavnostní přehlídka techniky, která vzbudila velký zájem veřejnosti. Každý rok se na školním hřišti pořádají sportovní hry pro žáky. Manžel přijel ze služební cesty velmi spokojený."
590,"Manžel spadl před třemi týdny ze žebříku, zlámal si přitom tři žebra a naštípl levé zápěstí. Musí se dobře soustředit, jinak by soupeře bodově nepředstihl. Naši subdodavatelé nedodržují smluvní termíny."
591,"Životní prostředí je třeba chránit, proto se v celém kraji zavedly přísné předpisy. Manželé odešli na procházku do parku, kde se posadili na lavici pod starým stromem. Vedoucí požaduje, aby se zprávy odevzdávaly brzy."
592,"Nařídil jim, aby ihned nastoupili do zaměstnání. Udržíme-li nově získané pozice, máme už skoro vyhráno. Rozhodně s ním odmítá hovořit, i kdyby se jí prý veřejně omluvil. Příspěvek pro nedělní přílohu bylo třeba zkrátit."
593,"Na jednání bylo projednáno rozšíření výroby, které by pokrylo rostoucí poptávku na domácím trhu. Požární hlídka zasahovala pohotově, nikdo nebyl zraněn. Život v našem městě se mění, přibývá nových služeb."
594,"Známe překladatele, který plynně hovoří rusky, německy, italsky a řecky. Představenstvo ZD projednávalo říjnový plán výroby. Ten výsledek je ale velmi nepřesný. Voda vařila hodinu, ale maso nechtělo pořádně změknout."
595,"Každý žák si přinesl do školy potřebné materiály pro výtvarnou výchovu. Manželé se rozhodli přestěhovat do nového bytu na kraji města. Životopis je třeba napsat velmi svědomitě, aby udělal na zaměstnavatele dobrý dojem."
596,"Plameny se rychle přenesly do podkroví, snad za třicet vteřin hořela už střecha. Stále ještě postupovali kupředu, ale nohy je přestávaly poslouchat. Předlohu zákona prý schválili v září, minulou středu."
597,"Vyřídil jste to výborně. Hospodaření podniku přineslo novému řediteli významná uznání. Vládě prý nevěří ani trochu, o politiku se přestal zajímat. Bára pookřála, ale pořád nebyla zdravotně zcela v pořádku."
598,"V křoví spatřil drobná zvířátka, která se tam schovávala před dravými ptáky. Vyzařoval z ní optimismus, měla za sebou právě obě přijímací řízení. Prokáže-li ten muž svoji totožnost, necháme ho zase běžet."
599,"V naší škole se konala přehlídka žákovských prací, která měla velký ohlas. Každý den se na staveništi zlepšovaly pracovní podmínky. Manželka si objednala nový kožešinový límec, vypadal opravdu krásně a nádherně."
600,"Křivoklátský žák Kužílek zřejmě zabránil neštěstí na železnici, když okamžitě běžel oznámiti, že poblíž přejezdu leží přes koleje vyvrácený strom. Odřežou ještě kousek téže hliníkové trubky pilkou na železo."
601,"Všechny požadavky na nové vybavení školy byly splněny, životní podmínky se tak opět zlepšily. Manželé odjeli na dovolenou do jižních krajin, kde si od každodenních starostí pěkně oddechli. Na žádost vedoucího jsme připravili novou zprávu."
602,"Situace ve složení výdajových položek byla poněkud složitější, protože se během roku několikrát měnily plány výroby i složení pracovních sil. Doprostřed sálu přitáhli žáci školy rovněž tu velkou žíněnku. Michal měl už od mládí velice rád žitný chléb."
603,"Na jednání se projednávalo rozšíření výrobních kapacit, jelikož poptávka po našich výrobcích stále rostla. Životní prostředí v okolí závodu se podařilo zlepšit díky novým opatřením. Manžel nakonec souhlasil s přestěhováním do menšího bytu na kraji města."
604,"Své pražské jednání právě zahájili odborníci v otázkách životního prostředí. Při stavbě nové sportovní haly použil též alternativní řešení s železobetonovou konstrukcí. Také již školili naše žáky a žákyně pro požární hlídku, která - bude-li nutné - zasáhne."
605,"Životní pojištění si v minulém roce sjednalo velké množství obyvatel. Naše škola uspořádala velkou výstavu žákovských prací, která měla nebývalý ohlas. Každý den se na pracovišti řeší nové záležitosti, ale všichni se snaží pracovat co nejlépe."
606,Náš vyšetřovatel Božetěch Kožešník už podruhé v životě měl krajně nepříjemnou práci - musel vyšetřovat vraždu. K našemu pobřeží se pak už žádný žralok nepřiblížil. Manželé Zdražilovi si stěžují na sousedky. Splnit váš požadavek považujeme prostě za nemožné.
607,"Na pražském ministerstvu se konalo jednání o životním prostředí, které trvalo celý den. Manželé se rozhodli pro nový životní styl a zdravější stravu, pravidelně sportují. Požární prevenci je třeba věnovat náležitou pozornost ve všech provozech."
608,"Naše Blažena nyní pracuje v kožešnictví. Do žní má naše traktorová stanice opravit už jenom tři žací stroje. Není-li žalobce, není ani soudce. Pacienti přísně dodržovali životosprávu. Ten váš požadavek přesahuje kapacitní možnosti rozmnožovny. Rozžhavil se vzteky doběla."
609,"Manželé si pořídili nový byt na okraji Prahy, odkud je krásný výhled na celé město. Na každém školním pracovišti se dodržují přísné předpisy, které mají chránit žáky i školitele. Životopis byl odevzdán do kanceláře velmi brzy."
610,Na Vánoce dostal Jan pěkné béžové pyžamo. Někam založil podkladové materiály. Přes cestu běžel ježek. Ten váš žurnalista se mi tedy příliš nezamlouvá. Dřív se na vojně sloužívalo mnohem déle než dnes. Vyvíjeli nový druh výztuže. Celý život s ním prý měla velké soužení.
611,"Požární ochrana na všech pracovištích musí být pravidelně kontrolována, aby se předešlo nevhodným situacím. Manžel odjel na služební cestu do Brna, kde měl jednání s novými obchodními partnery. Životní zkušenosti mu pomohly jednat rozvážně."
612,"Ty lakýrky s koženou podrážkou krásně kloužou po parketu. Zabývali se možnostmi využití zbývajících rezerv. Požádáte-li správce, jistě vám vybere i správné lyže. Zítra odjíždím do Rožnova pod Radhoštěm. Manžel má chřipku, leží už druhý týden. Požár se rychle rozšiřoval."
